weight_label,epoch,accuracy,f1
weight_2=0.3,9,0.5522,0.3947
weight_2=0.3,13,0.5659,0.4027
weight_2=0.01,5,0.2022,0.2036
weight_2=0.01,1,0.2063,0.2081
weight_2=0.3,10,0.5251,0.4019
weight_2=0.3,7,0.5047,0.396
weight_2=0.3,3,0.4882,0.4112
weight_2=0.01,4,0.2076,0.209
weight_2=0.3,12,0.5595,0.3915
weight_2=0.3,15,0.5587,0.3975
weight_2=0.3,10,0.5655,0.392
weight_2=0.3,7,0.3668,0.3477
weight_2=0.1,12,0.3152,0.3136
weight_2=0.3,11,0.5449,0.3996
weight_2=0.3,13,0.3799,0.3551
weight_2=0.3,13,0.5704,0.3933
weight_2=0.01,7,0.2009,0.2016
weight_2=0.3,11,0.5714,0.3937
weight_2=0.1,2,0.2257,0.2293
weight_2=0.3,12,0.538,0.4001
weight_2=0.3,15,0.5489,0.3902
weight_2=0.1,5,0.2608,0.2678
weight_2=0.1,11,0.2406,0.2466
weight_2=0.3,4,0.4715,0.4076
weight_2=0.3,9,0.4822,0.3944
weight_2=0.3,1,0.5025,0.4226
weight_2=0.3,15,0.4283,0.3749
weight_2=0.1,10,0.2149,0.2181
weight_2=0.3,2,0.4889,0.4206
weight_2=0.3,14,0.5601,0.3971
weight_2=0.01,3,0.2083,0.2093
weight_2=0.1,4,0.2406,0.2463
weight_2=0.3,6,0.4908,0.3961
weight_2=0.3,8,0.554,0.3991
weight_2=0.3,14,0.3875,0.3583
weight_2=0.3,14,0.5671,0.3947
weight_2=0.1,3,0.2224,0.2267
weight_2=0.3,8,0.4506,0.3895
weight_2=0.01,6,0.2013,0.2034
weight_2=0.01,8,0.2037,0.2049
weight_2=0.1,1,0.215,0.2207
weight_2=0.01,9,0.2046,0.2067
weight_2=0.3,5,0.5062,0.4128
weight_2=0.1,6,0.323,0.3213
weight_2=0.01,2,0.206,0.2061
