Label_Combination,Sample_Count,Percentage,Cumulative_Percentage
"1,2,2,2,2,2,2,2,2",772,1.8204112431616675,1.8204112431616675
"2,2,2,2,2,2,2,2,0",658,1.5515940388605924,3.37200528202226
"NA,NA,NA,0,NA,NA,NA,NA,NA",632,1.4902848519147331,4.862290133936993
"0,NA,NA,NA,NA,NA,NA,NA,NA",623,1.4690624410488586,6.331352574985852
"NA,NA,NA,NA,NA,NA,1,NA,NA",571,1.3464440671571403,7.677796642142992
"NA,NA,NA,NA,NA,NA,0,NA,NA",533,1.256838332390115,8.934634974533108
"2,2,2,1,2,2,2,2,2",486,1.1460101867572157,10.080645161290322
"2,2,2,2,2,2,2,1,2",443,1.0446142237313714,11.125259385021694
"1,NA,NA,NA,NA,NA,NA,NA,NA",436,1.0281079041690246,12.153367289190719
"2,2,0,2,2,2,2,2,2",404,0.9526504433125825,13.1060177325033
"2,2,2,2,2,2,2,2,1",350,0.8253159781173364,13.931333710620638
"NA,NA,NA,NA,NA,0,NA,NA,NA",310,0.7309941520467835,14.662327862667421
"2,2,2,2,2,2,2,0,2",291,0.6861912846632711,15.348519147330691
"2,2,2,2,2,1,2,2,2",285,0.6720430107526881,16.020562158083383
"2,0,2,2,2,2,2,2,2",273,0.6437464629315224,16.664308621014904
"NA,NA,NA,NA,NA,NA,NA,NA,1",271,0.6390303716279947,17.303338992642896
"NA,NA,NA,NA,0,NA,NA,NA,NA",241,0.5682890020750802,17.87162799471798
"2,2,2,2,0,2,2,2,2",232,0.5470665912092058,18.418694585927184
"NA,NA,NA,0,0,NA,NA,NA,NA",213,0.5022637238256933,18.920958309752876
"0,2,2,2,2,2,2,2,2",211,0.49754763252216566,19.41850594227504
"NA,NA,NA,NA,NA,NA,NA,0,NA",210,0.4951895868704018,19.913695529145446
"NA,NA,NA,NA,NA,1,NA,NA,NA",201,0.4739671760045274,20.38766270514997
"2,2,1,2,2,2,2,2,2",199,0.4692510847009998,20.85691378985097
"2,2,2,2,1,2,2,2,2",196,0.4621769477457084,21.31909073759668
"NA,0,NA,NA,NA,NA,NA,NA,NA",196,0.4621769477457084,21.781267685342385
"2,2,2,1,1,2,2,2,2",179,0.42209017166572343,22.203357857008115
"NA,NA,NA,2,0,NA,NA,NA,NA",172,0.4055838521033767,22.608941709111487
"NA,NA,NA,NA,NA,NA,NA,NA,0",170,0.40086776079984904,23.00980946991134
"NA,NA,NA,0,2,NA,NA,NA,NA",166,0.3914355781927938,23.40124504810413
"NA,NA,NA,NA,1,NA,NA,NA,NA",165,0.38907753254103,23.790322580645164
"2,1,2,2,2,2,2,2,2",129,0.3041878890775325,24.094510469722692
"1,1,2,2,2,2,2,2,2",128,0.3018298434257687,24.396340313148464
"2,0,NA,NA,NA,NA,NA,NA,NA",127,0.2994717977740049,24.695812110922468
"2,2,2,2,2,0,2,2,2",119,0.28060743255989434,24.97641954348236
"1,2,2,2,0,2,2,2,2",112,0.2641011129975476,25.24052065647991
